author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
PoorH,Poor,H,Vincent,,76,6860,90.263,3.0,147,39,19,10,2769,1
WangX,Wang,Xiangsheng,,,158,6810,43.101,3.0,337,39,2,11,6444,1
ZhangJ,Zhang,Jiawan,,,154,6446,41.857,3.0,347,37,3,14,6709,3
AbramoG,Abramo,Giovanni,,M,96,2941,30.635,2.0,20,33,8,90,9327,4
LiuY,Liu,Yun,,,144,5505,38.229,3.0,361,33,4,27,7278,4
ZhangR,Zhang,Rui,,,68,7538,110.853,2.0,113,32,23,7,2126,6
DAngeloC,DAngelo,Ciriaco,Andrea,,97,2926,30.165,2.0,23,32,7,92,9387,6
WangY,Wang,Yanhao,,,163,4565,28.006,3.0,417,30,1,56,10037,8
DasS,Das,Saptarshi,,,68,3021,44.426,2.0,93,29,23,82,6282,9
ZhangY,Zhang,Yang,,,125,3799,30.392,3.0,301,29,5,66,9366,9
EldarY,Eldar,Yonina,C,F,48,3045,63.438,2.0,87,28,42,81,4281,12
BjornsonE,Bjornson,Emil,,,34,4184,123.059,3.0,44,28,82,61,1867,12
WangZ,Wang,Zijie,,,103,2983,28.961,3.0,245,28,6,85,9937,12
WangH,Wang,Hui,,,94,2688,28.596,3.0,234,27,9,102,9964,14
ZhangL,Zhang,Liang,,M,84,7695,91.607,3.0,196,27,14,6,2707,14
WangL,Wang,Long,,,77,2775,36.039,3.0,189,26,18,96,7697,17
ZhangZ,Zhang,Zhengyuan,,,88,4505,51.193,3.0,200,26,11,57,5398,17
ChenJ,Chen,Jing,,,84,1790,21.31,2.0,192,26,14,177,12779,17
GiannakisG,Giannakis,Georgios,B,M,45,2929,65.089,2.0,46,26,48,91,4150,17
WangJ,Wang,Jingjing,,female,87,2703,31.069,4.0,252,25,12,101,9079,21
ChenX,Chen,Xiaokai,,,62,3018,48.677,3.0,185,25,30,83,5729,21
LauV,Lau,Vincent,,M,47,2142,45.574,1.0,38,25,43,137,6158,21
ZhangX,Zhang,Xiaoli,,F,89,3125,35.112,3.0,262,24,10,79,7930,23
WangC,Wang,Chen,,,67,3516,52.478,3.0,263,24,25,72,5272,23
YangY,Yang,Yifei,,M,76,2500,32.895,3.0,163,23,19,115,8680,27
LeeJ,Lee,JooHaeng,,,78,1485,19.038,3.0,192,23,17,233,13838,27
WildeM,Wilde,Mark,M,,64,1689,26.391,2.0,65,23,28,194,10672,27
ZhouX,Zhou,Xiangyun,,,36,3468,96.333,3.0,82,23,75,73,2524,27
DebbahM,Debbah,Merouane,,male,28,4055,144.821,3.0,55,23,127,62,1451,27
ChenY,Chen,Yiqiang,,,86,6164,71.674,3.0,223,23,13,20,3660,27
AndrewsJ,Andrews,Jeffrey,G,M,28,4481,160.036,2.0,55,22,127,58,1237,31
HeathR,Heath,Robert,W,M,30,5644,188.133,2.0,50,22,108,26,1005,31
RibeiroA,Ribeiro,Alejandro,,M,40,1783,44.575,3.0,65,21,57,179,6272,34
ZhangH,Zhang,Huayan,,male,71,2270,31.972,3.0,183,21,22,125,8989,34
LiuX,Liu,Xuefei,,,67,1759,26.254,3.0,199,21,25,180,10691,34
KimJ,Kim,Jaehong,,M,80,1496,18.7,3.0,204,21,16,231,14302,34
YangX,Yang,Xiaokang,,M,47,3206,68.213,3.0,146,20,43,78,3890,40
TuiaD,Tuia,Devis,,,25,2586,103.44,3.0,54,20,155,110,2326,40
LarssonE,Larsson,Erik,G,,30,2704,90.133,2.0,44,20,108,100,2772,40
OtterstenB,Ottersten,Bjorn,,M,26,1835,70.577,3.0,49,20,144,161,3734,40
ChenC,Chen,Chen,,,51,1223,23.98,3.0,113,20,40,309,11745,40
LiuJ,Liu,Jingzhou,,male,73,2477,33.932,3.0,200,20,21,117,8417,40
ZhuX,Zhu,Xiao,,,46,2184,47.478,3.0,104,20,46,134,5885,40
HanZ,Han,Zhizhong,,,32,1350,42.188,4.0,94,19,92,264,6584,45
WangW,Wang,Wenting,,M,58,2434,41.966,4.0,171,19,33,119,6706,45
WangG,Wang,Guijin,,,43,1515,35.233,4.0,125,19,50,225,7927,45
ThelwallM,Thelwall,Mike,,,32,1691,52.844,1.0,22,19,92,193,5243,45
PopovskiP,Popovski,Petar,,F,37,1230,33.243,3.0,86,18,73,307,8485,52
ZhangS,Zhang,Sheng,Xin,M,64,1996,31.188,3.0,163,18,28,143,9077,52
WangS,Wang,Suhang,,,65,1562,24.031,3.0,187,18,27,214,11495,52
BennisM,Bennis,Mehdi,,M,21,2955,140.714,3.0,39,18,214,89,1510,52
CampsVallsG,CampsValls,Gustau,,,26,1815,69.808,3.0,65,18,144,167,3796,52
LiuS,Liu,Shuaiqiang,,,53,1751,33.038,3.0,158,18,38,181,8494,52
LiuH,Liu,Hao,,,52,1448,27.846,3.0,134,18,39,236,10277,52
LiuC,Liu,Chengxiao,,M,54,1889,34.981,3.0,168,18,37,148,8155,52
YangZ,Yang,Zijiang,,,46,2913,63.326,3.0,118,18,46,93,4284,52
DaiL,Dai,Liyi,,,23,1345,58.478,3.0,45,18,181,270,4691,52
LiuL,Liu,Liu,,,41,1623,39.585,3.0,112,17,53,204,7068,63
TomamichelM,Tomamichel,Marco,,M,24,1090,45.417,2.0,24,17,167,371,6175,63
RoyK,Roy,Kaushik,,M,23,939,40.826,3.0,29,17,181,458,6881,63
ChenZ,Chen,Zhi,,,62,1034,16.677,3.0,143,17,30,407,15676,63
ZhangC,Zhang,Cheng,,M,59,1824,30.915,3.0,177,17,32,163,9302,63
LeeS,Lee,Sunghee,,,57,1543,27.07,3.0,171,17,34,218,10368,63
LeusG,Leus,Geert,,M,22,3863,175.591,3.0,29,17,198,64,1094,63
VorobyovS,Vorobyov,Sergiy,A,M,26,1030,39.615,2.0,30,17,144,408,7066,63
PanI,Pan,Indranil,,male,23,1361,59.174,2.0,11,17,181,255,4603,63
HuangJ,Huang,Jianwei,,male,39,2589,66.385,2.0,95,17,63,109,4072,63
WinterA,Winter,Andreas,,M,34,1309,38.5,2.0,53,17,82,287,7253,63
WangQ,Wang,Qike,,,44,1042,23.682,2.5,110,17,49,397,11761,63
WangR,Wang,Ruiping,,,34,970,28.529,3.0,91,16,82,439,9967,75
HoraudR,Horaud,Radu,,,23,867,37.696,2.0,33,16,181,500,7423,75
GuptaA,Gupta,Amitava,,M,31,786,25.355,3.0,85,16,100,572,11056,75
ZorziM,Zorzi,Michele,,F,23,2101,91.348,3.0,47,16,181,139,2713,75
WongK,Wong,KaiKit,,,24,1791,74.625,3.0,51,16,167,176,3509,75
ZhaoJ,Zhao,Jinman,,M,38,1024,26.947,3.0,105,16,68,413,10590,75
SwindlehurstA,Swindlehurst,A,Lee,,18,2490,138.333,2.0,22,16,279,116,1549,75
GillisN,Gillis,Nicolas,,M,31,868,28.0,2.0,35,16,100,499,10155,75
SunY,Sun,Yuan,,,41,1318,32.146,3.0,151,16,53,284,8762,75
ChenM,Chen,Manman,,M,33,1900,57.576,3.0,95,16,86,146,4764,75
YuanX,Yuan,Xiaojun,,,29,1134,39.103,3.0,73,16,117,342,7112,75
